year,week,fga,bigfga,team,opponent,ha,roof,outdoors,dome,retractable_open,retractable_closed,surface,grass,temp,wind,spread,ou,implied
2018,3,0,0,NY Jets,Cleveland,0,outdoors,1,0,0,0,grass,1,79,10,3,39.5,18.25
2018,3,0,0,San Francisco,Kansas City,0,outdoors,1,0,0,0,grass,1,72,8,6.5,56.5,25
2018,3,0,0,NY Giants,Houston,0,retractable roof (closed),0,0,0,1,astroturf,0,83,3,6,41.5,17.75
2018,3,0,0,Cincinnati,Carolina,0,outdoors,1,0,0,0,grass,1,82,5,3,44,20.5
2018,3,0,0,New Orleans,Atlanta,0,dome,0,1,0,0,fieldturf,0,70,0,3,53,25
2018,3,0,0,Buffalo,Minnesota,0,dome,0,1,0,0,sportturf,0,70,0,17,41,12
2018,3,0,0,Green Bay,Washington,0,outdoors,1,0,0,0,grass,1,69.4,5,-3,45.5,24.25
2018,3,0,0,Oakland,Miami,0,outdoors,1,0,0,0,grass,1,88,10,3.5,43.5,20
2018,3,0,0,Tennessee,Jacksonville,0,outdoors,1,0,0,0,grass,1,87,10,4.5,X,X
2018,3,0,0,Denver,Baltimore,0,outdoors,1,0,0,0,grass,1,71,6,5,43.5,19.25
2018,3,0,0,Indianapolis,Philadelphia,0,outdoors,1,0,0,0,grass,1,70,6,6,47.5,20.75
2018,3,0,0,LA Chargers,LA Rams,0,outdoors,1,0,0,0,grass,1,83,3,7,48,20.5
2018,3,0,0,Chicago,Arizona,0,retractable roof (closed),0,0,0,1,grass,1,70,0,-6,37.5,21.75
2018,3,0,0,Dallas,Seattle,0,outdoors,1,0,0,0,fieldturf,0,62,5,1.5,41.5,20
2018,3,0,0,New England,Detroit,0,dome,0,1,0,0,fieldturf,0,70,0,-6.5,52,29.25
2018,3,0,0,Pittsburgh,Tampa Bay,0,outdoors,1,0,0,0,grass,1,82,6,-1,53.5,27.25
2018,3,0,0,Cleveland,NY Jets,1,outdoors,1,0,0,0,grass,1,79,10,-3,39.5,21.25
2018,3,0,0,Kansas City,San Francisco,1,outdoors,1,0,0,0,grass,1,72,8,-6.5,56.5,31.5
2018,3,0,0,Houston,NY Giants,1,retractable roof (closed),0,0,0,1,astroturf,0,83,3,-6,41.5,23.75
2018,3,0,0,Carolina,Cincinnati,1,outdoors,1,0,0,0,grass,1,82,5,-3,44,23.5
2018,3,0,0,Atlanta,New Orleans,1,dome,0,1,0,0,fieldturf,0,70,0,-3,53,28
2018,3,0,0,Minnesota,Buffalo,1,dome,0,1,0,0,sportturf,0,70,0,-17,51,29
2018,3,0,0,Washington,Green Bay,1,outdoors,1,0,0,0,grass,1,69.4,5,3,45.5,21.25
2018,3,0,0,Miami,Oakland,1,outdoors,1,0,0,0,grass,1,88,10,-3.5,43.5,23.5
2018,3,0,0,Jacksonville,Tennessee,1,outdoors,1,0,0,0,grass,1,87,10,-4.5,X,X
2018,3,0,0,Baltimore,Denver,1,outdoors,1,0,0,0,grass,1,71,6,-5,43.5,24.25
2018,3,0,0,Philadelphia,Indianapolis,1,outdoors,1,0,0,0,grass,1,70,6,-6,47.5,26.75
2018,3,0,0,LA Rams,LA Chargers,1,outdoors,1,0,0,0,grass,1,83,3,-7,48,27.5
2018,3,0,0,Arizona,Chicago,1,retractable roof (closed),0,0,0,1,grass,1,70,0,6,37.5,15.75
2018,3,0,0,Seattle,Dallas,1,outdoors,1,0,0,0,fieldturf,0,62,5,-1.5,41.5,21.5
2018,3,0,0,Detroit,New England,1,dome,0,1,0,0,fieldturf,0,70,0,6.5,52,22.75
2018,3,0,0,Tampa Bay,Pittsburgh,1,outdoors,1,0,0,0,grass,1,82,6,1,53.5,26.25
