|year|week|team|opponent|ha|roof|outdoors|dome|retractable_open|retractable_closed|surface|grass|temp|wind|spread|ou|implied|points-per-game_currseason|points-per-game_last3|points-per-game_last1|points-per-game_lastseason|red-zone-scoring-attempts-per-game_currseason|red-zone-scoring-attempts-per-game_last3|red-zone-scoring-attempts-per-game_last1|red-zone-scoring-attempts-per-game_lastseason|red-zone-scoring-pct_currseason|red-zone-scoring-pct_last3|red-zone-scoring-pct_last1|red-zone-scoring-pct_lastseason|two-point-conversion-attempts-per-game_currseason|two-point-conversion-attempts-per-game_last3|two-point-conversion-attempts-per-game_last1|two-point-conversion-attempts-per-game_lastseason|two-point-conversions-per-game_currseason|two-point-conversions-per-game_last3|two-point-conversions-per-game_last1|two-point-conversions-per-game_lastseason|yards-per-game_currseason|yards-per-game_last3|yards-per-game_last1|yards-per-game_lastseason|plays-per-game_currseason|plays-per-game_last3|plays-per-game_last1|plays-per-game_lastseason|fourth-downs-per-game_currseason|fourth-downs-per-game_last3|fourth-downs-per-game_last1|fourth-downs-per-game_lastseason|fourth-down-conversion-pct_currseason|fourth-down-conversion-pct_last3|fourth-down-conversion-pct_last1|fourth-down-conversion-pct_lastseason|giveaways-per-game_currseason|giveaways-per-game_last3|giveaways-per-game_last1|giveaways-per-game_lastseason|penalties-per-game_currseason_x|penalties-per-game_last3_x|penalties-per-game_last1_x|penalties-per-game_lastseason_x|penalty-yards-per-game_currseason_x|penalty-yards-per-game_last3_x|penalty-yards-per-game_last1_x|penalty-yards-per-game_lastseason_x|opponent-points-per-game_currseason|opponent-points-per-game_last3|opponent-points-per-game_last1|opponent-points-per-game_lastseason|opponent-red-zone-scoring-attempts-per-game_currseason|opponent-red-zone-scoring-attempts-per-game_last3|opponent-red-zone-scoring-attempts-per-game_last1|opponent-red-zone-scoring-attempts-per-game_lastseason|opponent-red-zone-scoring-pct_currseason|opponent-red-zone-scoring-pct_last3|opponent-red-zone-scoring-pct_last1|opponent-red-zone-scoring-pct_lastseason|opponent-two-point-conversion-attempts-per-game_currseason|opponent-two-point-conversion-attempts-per-game_last3|opponent-two-point-conversion-attempts-per-game_last1|opponent-two-point-conversion-attempts-per-game_lastseason|opponent-two-point-conversions-per-game_currseason|opponent-two-point-conversions-per-game_last3|opponent-two-point-conversions-per-game_last1|opponent-two-point-conversions-per-game_lastseason|opponent-yards-per-game_currseason|opponent-yards-per-game_last3|opponent-yards-per-game_last1|opponent-yards-per-game_lastseason|opponent-plays-per-game_currseason|opponent-plays-per-game_last3|opponent-plays-per-game_last1|opponent-plays-per-game_lastseason|opponent-fourth-downs-per-game_currseason|opponent-fourth-downs-per-game_last3|opponent-fourth-downs-per-game_last1|opponent-fourth-downs-per-game_lastseason|opponent-fourth-down-conversion-pct_currseason|opponent-fourth-down-conversion-pct_last3|opponent-fourth-down-conversion-pct_last1|opponent-fourth-down-conversion-pct_lastseason|takeaways-per-game_currseason|takeaways-per-game_last3|takeaways-per-game_last1|takeaways-per-game_lastseason|penalties-per-game_currseason_y|penalties-per-game_last3_y|penalties-per-game_last1_y|penalties-per-game_lastseason_y|penalty-yards-per-game_currseason_y|penalty-yards-per-game_last3_y|penalty-yards-per-game_last1_y|penalty-yards-per-game_lastseason_y|fga|first-downs-per-game_currseason|first-downs-per-game_last3|first-downs-per-game_last1|first-downs-per-game_home|first-downs-per-game_away|first-downs-per-game_lastseason|third-downs-per-game_currseason|third-downs-per-game_last3|third-downs-per-game_last1|third-downs-per-game_home|third-downs-per-game_away|third-downs-per-game_lastseason|third-down-conversions-per-game_currseason|third-down-conversions-per-game_last3|third-down-conversions-per-game_last1|third-down-conversions-per-game_home|third-down-conversions-per-game_away|third-down-conversions-per-game_lastseason|opponent-first-downs-per-game_currseason|opponent-first-downs-per-game_last3|opponent-first-downs-per-game_last1|opponent-first-downs-per-game_home|opponent-first-downs-per-game_away|opponent-first-downs-per-game_lastseason|opponent-third-downs-per-game_currseason|opponent-third-downs-per-game_last3|opponent-third-downs-per-game_last1|opponent-third-downs-per-game_home|opponent-third-downs-per-game_away|opponent-third-downs-per-game_lastseason|opponent-third-down-conversions-per-game_currseason|opponent-third-down-conversions-per-game_last3|opponent-third-down-conversions-per-game_last1|opponent-third-down-conversions-per-game_home|opponent-third-down-conversions-per-game_away|opponent-third-down-conversions-per-game_lastseason|points-per-game_ha|red-zone-scoring-attempts-per-game_ha|red-zone-scoring-pct_ha|two-point-conversion-attempts-per-game_ha|two-point-conversions-per-game_ha|yards-per-game_ha|plays-per-game_ha|fourth-downs-per-game_ha|fourth-down-conversion-pct_ha|giveaways-per-game_ha|penalties-per-game_ha|penalty-yards-per-game_ha|opponent-points-per-game_ha|opponent-red-zone-scoring-attempts-per-game_ha|opponent-red-zone-scoring-pct_ha|opponent-two-point-conversion-attempts-per-game_ha|opponent-two-point-conversions-per-game_ha|opponent-yards-per-game_ha|opponent-plays-per-game_ha|opponent-fourth-downs-per-game_ha|opponent-fourth-down-conversion-pct_ha|opponent-giveaways-per-game_ha|opponent-penalties-per-game_ha|opponent-penalty-yards-per-game_ha
0|2011|1|New Orleans|Green Bay|0|outdoors|1|0|0|0|grass|1|68|5|5.0|48.0|21.5|24.7|22.0|36|32.5|4.0|4.0|7|4.2|51.47|58.33|57.14|61.25|0.1|0.3|1|0.2|0.0|0.0|0|0.2|378.5|382.3|474|393.1|67.6|74.3|83|63.7|0.7|0.3|1|0.9|41.67|0.00|0.00|38.89|1.9|2.0|1|1.5|5.7|6.7|7|5.6|54.3|58.7|39|49.4|15.8|20.0|25|20.5|2.0|2.3|3|3.1|51.22|71.43|66.67|61.54|0.1|0.3|1|0.1|0.1|0.3|1|0.1|308.9|294.0|387|298.9|60.2|58.7|64|59.1|1.3|1.7|1|1.5|34.62|40.00|0.00|40.00|2.1|3.3|3|2.4|5.0|6.3|7|7.4|40.2|57.3|67|66.6|2|22.5|25.0|32|22.1|22.9|21.5|13.5|15.3|13|14.2|12.9|12.2|6.6|7.3|6|7.4|5.9|5.3|16.7|17.0|19|17.1|16.4|17.8|13.1|12.0|13|13.4|12.9|12.7|4.7|3.7|7|5.2|4.2|4.6|27.9|4.2|57.89|0.1|0.0|387.7|66.8|0.4|0.00|1.4|7.0|63.6|15.4|1.9|46.67|0.0|0.0|310.9|61.9|1.1|44.44|2.8|4.0|33.2
1|2011|1|Philadelphia|LA Rams|0|dome|0|1|0|0|astroplay|0|70|0|-4.0|44.5|24.25|26.8|14.3|16|26.1|3.6|2.7|3|3.1|52.46|50.00|33.33|49.06|0.2|0.3|1|0.1|0.1|0.0|0|0.1|387.2|309.0|352|356.8|64.6|66.7|60|60.6|0.8|1.0|1|0.9|71.43|66.67|100.00|37.50|1.5|2.7|1|1.6|8.0|7.7|7|7.3|67.7|50.7|50|56.9|20.5|20.0|16|27.2|2.8|2.7|4|3.7|48.89|50.00|25.00|61.02|0.2|0.0|0|0.1|0.1|0.0|0|0.1|336.8|349.0|333|372.8|63.6|68.0|71|63.5|0.8|1.0|0|0.8|50.00|66.67|0|50.00|1.6|1.3|1|1.2|6.4|6.7|6|6.2|54.8|49.0|46|52.1|1|19.9|18.7|18|19.3|20.6|18.0|13.4|13.3|13|13.6|13.1|12.8|5.3|4.3|5|5.1|5.5|4.5|18.8|17.3|19|18.0|19.6|20.8|13.8|16.0|15|14.2|13.4|13.1|4.6|4.3|4|4.9|4.4|5.7|32.8|3.5|60.71|0.0|0.0|412.2|63.6|0.6|60.00|1.4|6.4|54.0|17.6|2.6|47.62|0.1|0.1|322.1|62.5|0.6|40.00|2.0|6.6|54.4
2|2011|1|Pittsburgh|Baltimore|0|outdoors|1|0|0|0|sportturf|0|75|2|1.5|37.0|17.75|23.9|26.7|25|23.0|3.2|3.7|3|3.5|52.46|72.73|66.67|48.21|0.2|0.3|1|0.0|0.2|0.3|1|0.0|340.1|312.3|387|371.3|62.6|65.7|64|63.4|0.4|1.0|1|0.8|37.50|33.33|0.00|66.67|1.3|2.3|3|1.6|6.3|6.3|6|5.3|56.6|57.7|55|48.3|17.1|15.0|31|16.4|2.5|3.0|5|2.7|46.67|55.56|80.00|45.83|0.1|0.0|0|0.0|0.1|0.0|0|0.0|307.0|273.0|263|293.3|62.0|61.7|69|62.5|0.8|1.7|1|1.1|46.67|20.00|100.00|45.00|1.9|4.0|2|2.1|5.4|5.0|6|6.9|42.6|46.3|74|65.2|0|18.6|21.0|19|20.2|16.9|20.7|13.5|12.7|13|13.4|13.6|12.7|6.0|6.7|7|6.2|5.8|5.0|17.2|16.3|21|18.4|16.3|17.6|13.9|13.0|14|14.1|13.8|13.6|5.3|5.0|7|6.0|4.7|4.9|23.9|2.8|48.00|0.1|0.1|330.4|60.8|0.6|40.00|1.6|5.7|49.8|16.5|2.5|50.00|0.0|0.0|333.5|62.9|0.8|33.33|1.9|6.5|47.5
3|2011|1|Indianapolis|Houston|0|retractable roof (open)|0|0|1|0|grass|1|70|0|9.0|44.0|17.5|26.5|23.3|16|25.4|3.4|2.7|1|3.4|66.67|62.50|0.00|64.62|0.0|0.0|0|0.2|0.0|0.0|0|0.1|376.7|346.7|312|367.2|67.2|63.3|54|62.1|0.5|0.0|0|0.8|62.50|0|0|46.67|1.5|1.0|0|1.4|4.8|3.7|2|4.4|42.3|25.7|10|32.7|26.7|24.0|17|20.8|3.7|4.3|3|2.3|67.80|69.23|66.67|64.86|0.1|0.0|0|0.0|0.1|0.0|0|0.0|376.9|370.7|322|324.9|63.1|60.7|62|60.9|0.8|1.7|3|1.3|84.62|100.00|100.00|42.86|1.1|1.3|2|1.7|5.6|5.7|5|5.9|43.1|46.0|48|52.1|1|22.4|22.3|16|20.6|24.4|21.6|12.8|11.7|13|13.0|12.5|12.2|5.7|4.7|6|5.3|6.1|5.8|21.8|22.3|23|20.4|23.2|18.8|12.2|10.7|10|12.2|12.1|12.6|4.8|3.0|1|4.8|4.9|4.9|27.4|4.1|72.73|0.0|0.0|409.6|68.8|0.5|75.00|1.6|4.9|44.9|24.5|2.9|78.26|0.1|0.1|347.9|60.8|1.0|87.50|1.2|6.0|50.0
4|2011|1|Tennessee|Jacksonville|0|outdoors|1|0|0|0|grass|1|87|5|-1.5|38.0|19.75|22.2|21.7|20|22.1|2.7|2.3|2|2.4|58.14|71.43|50.00|56.41|0.1|0.0|0|0.1|0.1|0.0|0|0.1|302.1|323.3|341|351.4|56.7|59.0|64|61.9|0.9|1.3|1|1.4|57.14|75.00|100.00|54.55|1.8|1.3|1|1.9|8.0|9.3|7|6.1|65.0|69.3|58|51.3|26.2|29.3|34|23.8|3.6|3.7|4|3.2|54.39|45.45|50.00|55.77|0.1|0.0|0|0.4|0.1|0.0|0|0.1|371.8|374.7|497|352.3|59.2|62.3|59|61.4|1.1|0.7|1|1.1|44.44|50.00|0.00|70.59|1.1|0.3|0|1.6|5.2|5.0|2|4.2|42.2|45.3|15|32.6|1|15.8|17.3|17|15.8|15.8|18.0|12.8|12.7|15|12.2|13.2|13.4|4.4|4.0|6|4.0|4.9|5.6|19.7|18.7|22|19.2|20.1|19.2|11.8|13.0|11|12.6|11.0|13.1|4.9|4.7|5|5.5|4.2|5.9|21.1|2.5|55.00|0.1|0.0|289.8|57.1|0.8|50.00|1.1|7.6|65.4|24.8|3.5|57.14|0.0|0.0|358.9|60.0|0.9|57.14|1.1|5.8|50.5
5|2011|1|Cincinnati|Cleveland|0|outdoors|1|0|0|0|grass|1|72|9|7.0|36.5|14.75|20.1|20.0|7|18.8|3.4|4.0|4|3.1|49.09|50.00|25.00|49.06|0.2|0.0|0|0.3|0.1|0.0|0|0.1|330.6|387.7|395|307.5|65.4|67.7|76|63.1|1.2|1.7|2|0.9|68.42|20.00|0.00|66.67|2.1|2.0|5|1.6|5.6|5.3|4|7.1|45.3|53.7|49|54.0|20.8|26.7|41|23.4|3.0|3.7|5|3.6|47.92|54.55|80.00|43.86|0.0|0.0|0|0.0|0.0|0.0|0|0.0|350.1|357.7|418|389.3|65.1|62.7|62|67.0|0.9|1.0|1|1.2|73.33|33.33|100.00|50.00|1.8|0.3|0|1.2|4.9|3.7|6|4.6|42.2|30.3|46|41.4|2|20.4|20.0|20|20.6|20.2|18.3|14.0|14.7|17|14.5|13.5|14.3|5.4|7.0|7|5.5|5.4|5.8|19.9|20.3|24|19.5|20.2|21.0|14.0|13.0|13|14.2|13.8|13.8|6.0|7.0|8|6.5|5.5|5.4|17.1|3.1|48.00|0.2|0.0|338.0|66.9|1.1|77.78|2.9|4.9|41.4|22.5|2.9|39.13|0.0|0.0|350.5|64.4|0.8|83.33|1.4|5.5|46.5
6|2011|1|Buffalo|Kansas City|0|outdoors|1|0|0|0|grass|1|75|0|3.5|40.0|18.25|17.7|9.0|7|16.1|2.3|2.0|0|2.4|51.35|33.33|0|31.58|0.1|0.0|0|0.1|0.0|0.0|0|0.0|304.9|271.0|162|273.9|59.6|54.0|47|56.9|1.5|1.3|0|0.9|45.83|50.00|0|46.67|2.4|4.7|6|1.9|5.1|4.7|3|6.7|39.6|33.0|15|53.4|20.9|25.0|30|26.5|2.5|2.3|5|3.3|66.67|57.14|40.00|56.60|0.0|0.0|0|0.0|0.0|0.0|0|0.0|333.7|334.7|390|388.2|65.1|67.0|78|66.4|1.2|1.0|1|0.7|38.10|33.33|100.00|54.55|1.5|1.7|2|1.8|5.6|5.7|5|5.2|47.7|54.3|40|41.4|2|16.4|12.3|6|14.9|17.6|14.6|13.2|11.3|12|12.4|13.8|12.4|5.0|3.7|4|3.3|6.3|3.2|18.8|21.0|26|18.4|19.1|19.9|14.1|14.0|17|14.9|13.2|13.9|5.5|6.0|9|5.2|5.8|5.3|20.8|2.0|66.67|0.1|0.0|319.3|61.2|1.2|54.55|2.9|5.4|44.1|16.4|2.1|52.63|0.0|0.0|322.3|66.4|1.6|50.00|1.3|5.8|51.4
7|2011|1|Detroit|Tampa Bay|0|outdoors|1|0|0|0|grass|1|86|6|1.5|43.5|21.0|22.6|25.7|20|16.4|2.8|3.7|4|2.2|64.44|45.45|50.00|47.22|0.3|0.0|0|0.1|0.1|0.0|0|0.1|338.9|355.0|357|299.0|66.5|60.7|67|64.8|1.0|0.0|0|1.6|62.50|0|0|26.92|1.6|0.7|2|2.6|8.5|6.0|5|6.1|63.6|47.7|33|48.0|19.9|17.0|13|25.0|3.0|3.3|3|3.1|54.17|50.00|33.33|54.00|0.2|0.3|0|0.0|0.1|0.3|0|0.0|332.7|304.0|305|365.6|61.9|61.7|66|64.9|1.1|0.7|0|0.9|52.94|100.00|0|60.00|1.8|1.0|3|1.8|6.2|6.3|7|5.8|52.3|47.0|54|43.5|2|19.0|20.7|22|19.8|18.2|17.6|15.1|13.0|15|14.8|15.5|14.6|6.1|6.3|9|5.8|6.4|5.2|19.6|18.7|20|18.6|20.6|20.2|13.3|14.3|16|12.6|14.0|13.4|5.8|6.3|8|6.0|5.5|5.4|19.8|2.5|50.00|0.1|0.0|337.0|66.5|0.9|85.71|1.9|9.1|68.2|22.8|3.2|57.69|0.1|0.1|335.5|59.6|0.6|40.00|1.2|7.2|61.4
8|2011|1|Atlanta|Chicago|0|outdoors|1|0|0|0|grass|1|76|7|-1.5|41.0|21.25|25.6|22.0|21|22.7|3.6|3.3|3|3.5|60.66|60.00|66.67|51.79|0.2|0.0|0|0.1|0.1|0.0|0|0.0|332.5|253.7|194|340.4|67.4|57.0|48|65.5|1.0|1.3|2|1.4|70.59|25.00|50.00|69.57|1.2|2.3|4|1.6|3.8|4.0|7|4.9|37.1|20.7|32|41.5|18.4|18.3|21|23.4|2.7|3.0|3|3.5|51.02|66.67|66.67|66.07|0.1|0.0|0|0.2|0.0|0.0|0|0.1|314.5|305.3|356|338.5|62.5|58.7|63|64.6|0.7|0.0|0|0.8|46.15|0|0|46.15|2.1|1.3|2|1.8|6.0|7.7|9|6.2|51.6|68.7|89|52.2|2|21.5|17.7|15|22.1|20.8|20.4|14.7|11.0|10|13.7|15.9|13.5|6.8|3.3|3|6.3|7.2|5.7|17.7|17.3|23|19.5|15.5|19.5|13.4|12.0|11|13.5|13.2|14.1|4.4|2.3|2|4.6|4.2|5.8|25.0|3.4|55.56|0.1|0.1|327.1|69.6|0.8|83.33|1.1|3.9|35.5|22.5|3.2|50.00|0.0|0.0|334.6|64.3|0.5|40.00|1.7|6.6|60.0
9|2011|1|Carolina|Arizona|0|retractable roof (closed)|0|0|0|1|grass|1|70|0|7.0|37.5|15.25|12.2|10.7|10|19.7|2.1|2.3|2|2.5|30.30|28.57|50.00|50.00|0.0|0.0|0|0.2|0.0|0.0|0|0.1|258.4|237.7|291|331.1|60.1|57.0|56|63.9|1.4|1.7|1|1.2|43.48|40.00|0.00|45.00|2.3|1.7|2|1.9|6.6|7.3|10|5.5|57.4|72.3|97|43.6|27.1|27.7|38|23.1|4.3|2.7|3|3.1|39.13|50.00|66.67|53.57|0.0|0.0|0|0.0|0.0|0.0|0|0.0|373.6|349.0|362|358.6|68.2|66.0|56|65.1|1.1|1.3|0|1.5|52.94|75.00|0|51.85|1.9|1.3|0|1.8|6.8|6.0|8|6.7|54.4|41.7|43|53.6|0|13.9|11.7|12|14.5|13.4|18.0|14.2|13.7|13|14.1|14.2|13.8|4.3|3.3|3|3.2|5.4|5.1|21.7|18.7|16|21.2|22.1|19.3|14.6|14.7|11|14.5|14.6|14.2|5.4|4.7|2|5.4|5.5|5.2|13.5|1.9|40.00|0.0|0.0|251.0|57.4|1.0|25.00|2.1|7.0|63.8|25.2|3.9|32.26|0.0|0.0|370.4|68.6|0.6|60.00|2.4|6.0|50.8
