year,week,team,opponent,ha,roof,outdoors,dome,retractable_open,retractable_closed,surface,grass,temp,wind,spread,ou,implied,points-per-game_currseason,points-per-game_last3,points-per-game_last1,points-per-game_home,points-per-game_away,points-per-game_lastseason,red-zone-scoring-attempts-per-game_currseason,red-zone-scoring-attempts-per-game_last3,red-zone-scoring-attempts-per-game_last1,red-zone-scoring-attempts-per-game_home,red-zone-scoring-attempts-per-game_away,red-zone-scoring-attempts-per-game_lastseason,red-zone-scoring-pct_currseason,red-zone-scoring-pct_last3,red-zone-scoring-pct_last1,red-zone-scoring-pct_home,red-zone-scoring-pct_away,red-zone-scoring-pct_lastseason,two-point-conversion-attempts-per-game_currseason,two-point-conversion-attempts-per-game_last3,two-point-conversion-attempts-per-game_last1,two-point-conversion-attempts-per-game_home,two-point-conversion-attempts-per-game_away,two-point-conversion-attempts-per-game_lastseason,two-point-conversions-per-game_currseason,two-point-conversions-per-game_last3,two-point-conversions-per-game_last1,two-point-conversions-per-game_home,two-point-conversions-per-game_away,two-point-conversions-per-game_lastseason,yards-per-game_currseason,yards-per-game_last3,yards-per-game_last1,yards-per-game_home,yards-per-game_away,yards-per-game_lastseason,plays-per-game_currseason,plays-per-game_last3,plays-per-game_last1,plays-per-game_home,plays-per-game_away,plays-per-game_lastseason,fourth-downs-per-game_currseason,fourth-downs-per-game_last3,fourth-downs-per-game_last1,fourth-downs-per-game_home,fourth-downs-per-game_away,fourth-downs-per-game_lastseason,fourth-down-conversion-pct_currseason,fourth-down-conversion-pct_last3,fourth-down-conversion-pct_last1,fourth-down-conversion-pct_home,fourth-down-conversion-pct_away,fourth-down-conversion-pct_lastseason,giveaways-per-game_currseason,giveaways-per-game_last3,giveaways-per-game_last1,giveaways-per-game_home,giveaways-per-game_away,giveaways-per-game_lastseason,penalties-per-game_currseason_x,penalties-per-game_last3_x,penalties-per-game_last1_x,penalties-per-game_home_x,penalties-per-game_away_x,penalties-per-game_lastseason_x,penalty-yards-per-game_currseason_x,penalty-yards-per-game_last3_x,penalty-yards-per-game_last1_x,penalty-yards-per-game_home_x,penalty-yards-per-game_away_x,penalty-yards-per-game_lastseason_x,opponent-points-per-game_currseason,opponent-points-per-game_last3,opponent-points-per-game_last1,opponent-points-per-game_home,opponent-points-per-game_away,opponent-points-per-game_lastseason,opponent-red-zone-scoring-attempts-per-game_currseason,opponent-red-zone-scoring-attempts-per-game_last3,opponent-red-zone-scoring-attempts-per-game_last1,opponent-red-zone-scoring-attempts-per-game_home,opponent-red-zone-scoring-attempts-per-game_away,opponent-red-zone-scoring-attempts-per-game_lastseason,opponent-red-zone-scoring-pct_currseason,opponent-red-zone-scoring-pct_last3,opponent-red-zone-scoring-pct_last1,opponent-red-zone-scoring-pct_home,opponent-red-zone-scoring-pct_away,opponent-red-zone-scoring-pct_lastseason,opponent-two-point-conversion-attempts-per-game_currseason,opponent-two-point-conversion-attempts-per-game_last3,opponent-two-point-conversion-attempts-per-game_last1,opponent-two-point-conversion-attempts-per-game_home,opponent-two-point-conversion-attempts-per-game_away,opponent-two-point-conversion-attempts-per-game_lastseason,opponent-two-point-conversions-per-game_currseason,opponent-two-point-conversions-per-game_last3,opponent-two-point-conversions-per-game_last1,opponent-two-point-conversions-per-game_home,opponent-two-point-conversions-per-game_away,opponent-two-point-conversions-per-game_lastseason,opponent-yards-per-game_currseason,opponent-yards-per-game_last3,opponent-yards-per-game_last1,opponent-yards-per-game_home,opponent-yards-per-game_away,opponent-yards-per-game_lastseason,opponent-plays-per-game_currseason,opponent-plays-per-game_last3,opponent-plays-per-game_last1,opponent-plays-per-game_home,opponent-plays-per-game_away,opponent-plays-per-game_lastseason,opponent-fourth-downs-per-game_currseason,opponent-fourth-downs-per-game_last3,opponent-fourth-downs-per-game_last1,opponent-fourth-downs-per-game_home,opponent-fourth-downs-per-game_away,opponent-fourth-downs-per-game_lastseason,opponent-fourth-down-conversion-pct_currseason,opponent-fourth-down-conversion-pct_last3,opponent-fourth-down-conversion-pct_last1,opponent-fourth-down-conversion-pct_home,opponent-fourth-down-conversion-pct_away,opponent-fourth-down-conversion-pct_lastseason,takeaways-per-game_currseason,takeaways-per-game_last3,takeaways-per-game_last1,takeaways-per-game_home,takeaways-per-game_away,takeaways-per-game_lastseason,penalties-per-game_currseason_y,penalties-per-game_last3_y,penalties-per-game_last1_y,penalties-per-game_home_y,penalties-per-game_away_y,penalties-per-game_lastseason_y,penalty-yards-per-game_currseason_y,penalty-yards-per-game_last3_y,penalty-yards-per-game_last1_y,penalty-yards-per-game_home_y,penalty-yards-per-game_away_y,penalty-yards-per-game_lastseason_y,fga
2011,1,New Orleans,Green Bay,0,outdoors,1,0,0,0,grass,1,68,5,5,48,21.5,24.7,22,36,21.1,27.9,32.5,4,4,7,3.8,4.2,4.2,51.47%,58.33%,57.14%,43.33%,57.89%,61.25%,0.1,0.3,1,0,0.1,0.2,0,0,0,0,0,0.2,378.5,382.3,474,368.1,387.7,393.1,67.6,74.3,83,68.6,66.8,63.7,0.7,0.3,1,1,0.4,0.9,41.67%,0.00%,0.00%,62.50%,0.00%,38.89%,1.9,2,1,2.4,1.4,1.5,5.7,6.7,7,4.2,7,5.6,54.3,58.7,39,43.9,63.6,49.4,15.8,20,25,15.4,16.1,20.5,2,2.3,3,1.9,2.2,3.1,51.22%,71.43%,66.67%,46.67%,53.85%,61.54%,0.1,0.3,1,0,0.2,0.1,0.1,0.3,1,0,0.1,0.1,308.9,294,387,310.9,307.7,298.9,60.2,58.7,64,61.9,59.2,59.1,1.3,1.7,1,1.1,1.4,1.5,34.62%,40.00%,0.00%,44.44%,29.41%,40.00%,2.1,3.3,3,2.8,1.8,2.4,5,6.3,7,4,5.6,7.4,40.2,57.3,67,33.2,44.8,66.6,2
2011,1,Philadelphia,LA Rams,0,dome,0,1,0,0,astroplay,0,70,0,-4,44.5,24.25,26.8,14.3,16,21.4,32.8,26.1,3.6,2.7,3,3.7,3.5,3.1,52.46%,50.00%,33.33%,45.45%,60.71%,49.06%,0.2,0.3,1,0.3,0,0.1,0.1,0,0,0.1,0,0.1,387.2,309,352,364.9,412.2,356.8,64.6,66.7,60,65.4,63.6,60.6,0.8,1,1,1,0.6,0.9,71.43%,66.67%,100.00%,77.78%,60.00%,37.50%,1.5,2.7,1,1.7,1.4,1.6,8,7.7,7,9.4,6.4,7.3,67.7,50.7,50,79.9,54,56.9,20.5,20,16,17.6,23.4,27.2,2.8,2.7,4,2.6,3,3.7,48.89%,50.00%,25.00%,47.62%,50.00%,61.02%,0.2,0,0,0.1,0.2,0.1,0.1,0,0,0.1,0,0.1,336.8,349,333,322.1,351.4,372.8,63.6,68,71,62.5,64.6,63.5,0.8,1,0,0.6,0.9,0.8,50.00%,66.67%,0,40.00%,57.14%,50.00%,1.6,1.3,1,2,1.2,1.2,6.4,6.7,6,6.6,6.1,6.2,54.8,49,46,54.4,55.2,52.1,1
2011,1,Pittsburgh,Baltimore,0,outdoors,1,0,0,0,sportturf,0,75,2,1.5,37,17.75,23.9,26.7,25,24,23.9,23,3.2,3.7,3,3.6,2.8,3.5,52.46%,72.73%,66.67%,55.56%,48.00%,48.21%,0.2,0.3,1,0.2,0.1,0,0.2,0.3,1,0.2,0.1,0,340.1,312.3,387,348.7,330.4,371.3,62.6,65.7,64,64.3,60.8,63.4,0.4,1,1,0.3,0.6,0.8,37.50%,33.33%,0.00%,33.33%,40.00%,66.67%,1.3,2.3,3,1.1,1.6,1.6,6.3,6.3,6,6.8,5.7,5.3,56.6,57.7,55,62.8,49.8,48.3,17.1,15,31,16.5,17.6,16.4,2.5,3,5,2.5,2.5,2.7,46.67%,55.56%,80.00%,50.00%,44.00%,45.83%,0.1,0,0,0,0.2,0,0.1,0,0,0,0.1,0,307,273,263,333.5,285.8,293.3,62,61.7,69,62.9,61.3,62.5,0.8,1.7,1,0.8,0.9,1.1,46.67%,20.00%,100.00%,33.33%,55.56%,45.00%,1.9,4,2,1.9,1.9,2.1,5.4,5,6,6.5,4.6,6.9,42.6,46.3,74,47.5,38.7,65.2,0
2011,1,Indianapolis,Houston,0,retractable roof (open),0,0,1,0,grass,1,70,0,9,44,17.5,26.5,23.3,16,25.8,27.4,25.4,3.4,2.7,1,2.7,4.1,3.4,66.67%,62.50%,0.00%,58.33%,72.73%,64.62%,0,0,0,0,0,0.2,0,0,0,0,0,0.1,376.7,346.7,312,347.4,409.6,367.2,67.2,63.3,54,65.8,68.8,62.1,0.5,0,0,0.4,0.5,0.8,62.50%,0,0,50.00%,75.00%,46.67%,1.5,1,0,1.3,1.6,1.4,4.8,3.7,2,4.7,4.9,4.4,42.3,25.7,10,40,44.9,32.7,26.7,24,17,24.5,28.9,20.8,3.7,4.3,3,2.9,4.5,2.3,67.80%,69.23%,66.67%,78.26%,61.11%,64.86%,0.1,0,0,0.1,0,0,0.1,0,0,0.1,0,0,376.9,370.7,322,347.9,406,324.9,63.1,60.7,62,60.8,65.5,60.9,0.8,1.7,3,1,0.6,1.3,84.62%,100.00%,100.00%,87.50%,80.00%,42.86%,1.1,1.3,2,1.2,1,1.7,5.6,5.7,5,6,5.2,5.9,43.1,46,48,50,36.2,52.1,1
2011,1,Tennessee,Jacksonville,0,outdoors,1,0,0,0,grass,1,87,5,-1.5,38,19.75,22.2,21.7,20,23.4,21.1,22.1,2.7,2.3,2,2.9,2.5,2.4,58.14%,71.43%,50.00%,60.87%,55.00%,56.41%,0.1,0,0,0.1,0.1,0.1,0.1,0,0,0.1,0,0.1,302.1,323.3,341,314.5,289.8,351.4,56.7,59,64,56.2,57.1,61.9,0.9,1.3,1,1,0.8,1.4,57.14%,75.00%,100.00%,62.50%,50.00%,54.55%,1.8,1.3,1,2.5,1.1,1.9,8,9.3,7,8.4,7.6,6.1,65,69.3,58,64.6,65.4,51.3,26.2,29.3,34,24.8,27.6,23.8,3.6,3.7,4,3.5,3.6,3.2,54.39%,45.45%,50.00%,57.14%,51.72%,55.77%,0.1,0,0,0,0.2,0.4,0.1,0,0,0,0.1,0.1,371.8,374.7,497,358.9,384.8,352.3,59.2,62.3,59,60,58.5,61.4,1.1,0.7,1,0.9,1.4,1.1,44.44%,50.00%,0.00%,57.14%,36.36%,70.59%,1.1,0.3,0,1.1,1.1,1.6,5.2,5,2,5.8,4.6,4.2,42.2,45.3,15,50.5,33.9,32.6,1
2011,1,Cincinnati,Cleveland,0,outdoors,1,0,0,0,grass,1,72,9,7,36.5,14.75,20.1,20,7,23.1,17.1,18.8,3.4,4,4,3.8,3.1,3.1,49.09%,50.00%,25.00%,50.00%,48.00%,49.06%,0.2,0,0,0.2,0.2,0.3,0.1,0,0,0.2,0,0.1,330.6,387.7,395,323.1,338,307.5,65.4,67.7,76,63.9,66.9,63.1,1.2,1.7,2,1.2,1.1,0.9,68.42%,20.00%,0.00%,60.00%,77.78%,66.67%,2.1,2,5,1.4,2.9,1.6,5.6,5.3,4,6.4,4.9,7.1,45.3,53.7,49,49.2,41.4,54,20.8,26.7,41,22.5,19,23.4,3,3.7,5,2.9,3.1,3.6,47.92%,54.55%,80.00%,39.13%,56.00%,43.86%,0,0,0,0,0,0,0,0,0,0,0,0,350.1,357.7,418,350.5,349.6,389.3,65.1,62.7,62,64.4,65.8,67,0.9,1,1,0.8,1.1,1.2,73.33%,33.33%,100.00%,83.33%,66.67%,50.00%,1.8,0.3,0,1.4,2.1,1.2,4.9,3.7,6,5.5,4.2,4.6,42.2,30.3,46,46.5,37.9,41.4,2
2011,1,Buffalo,Kansas City,0,outdoors,1,0,0,0,grass,1,75,0,3.5,40,18.25,17.7,9,7,13.7,20.8,16.1,2.3,2,0,2.7,2,2.4,51.35%,33.33%,0,36.84%,66.67%,31.58%,0.1,0,0,0.1,0.1,0.1,0,0,0,0,0,0,304.9,271,162,286.3,319.3,273.9,59.6,54,47,57.6,61.2,56.9,1.5,1.3,0,1.9,1.2,0.9,45.83%,50.00%,0,38.46%,54.55%,46.67%,2.4,4.7,6,1.9,2.9,1.9,5.1,4.7,3,4.7,5.4,6.7,39.6,33,15,33.7,44.1,53.4,20.9,25,30,16.4,26,26.5,2.5,2.3,5,2.1,2.9,3.3,66.67%,57.14%,40.00%,52.63%,78.26%,56.60%,0,0,0,0,0,0,0,0,0,0,0,0,333.7,334.7,390,322.3,346.5,388.2,65.1,67,78,66.4,63.5,66.4,1.2,1,1,1.6,0.9,0.7,38.10%,33.33%,100.00%,50.00%,14.29%,54.55%,1.5,1.7,2,1.3,1.6,1.8,5.6,5.7,5,5.8,5.4,5.2,47.7,54.3,40,51.4,43.5,41.4,2
2011,1,Detroit,Tampa Bay,0,outdoors,1,0,0,0,grass,1,86,6,1.5,43.5,21,22.6,25.7,20,25.5,19.8,16.4,2.8,3.7,4,3.1,2.5,2.2,64.44%,45.45%,50.00%,76.00%,50.00%,47.22%,0.3,0,0,0.5,0.1,0.1,0.1,0,0,0.2,0,0.1,338.9,355,357,340.9,337,299,66.5,60.7,67,66.5,66.5,64.8,1,0,0,1.1,0.9,1.6,62.50%,0,0,44.44%,85.71%,26.92%,1.6,0.7,2,1.2,1.9,2.6,8.5,6,5,7.9,9.1,6.1,63.6,47.7,33,59,68.2,48,19.9,17,13,22.8,17,25,3,3.3,3,3.2,2.8,3.1,54.17%,50.00%,33.33%,57.69%,50.00%,54.00%,0.2,0.3,0,0.1,0.2,0,0.1,0.3,0,0.1,0.1,0,332.7,304,305,335.5,329.9,365.6,61.9,61.7,66,59.6,64.2,64.9,1.1,0.7,0,0.6,1.5,0.9,52.94%,100.00%,0,40.00%,58.33%,60.00%,1.8,1,3,1.2,2.2,1.8,6.2,6.3,7,7.2,5.2,5.8,52.3,47,54,61.4,43.2,43.5,2
2011,1,Atlanta,Chicago,0,outdoors,1,0,0,0,grass,1,76,7,-1.5,41,21.25,25.6,22,21,26.1,25,22.7,3.6,3.3,3,3.8,3.4,3.5,60.66%,60.00%,66.67%,64.71%,55.56%,51.79%,0.2,0,0,0.2,0.1,0.1,0.1,0,0,0.1,0.1,0,332.5,253.7,194,337.2,327.1,340.4,67.4,57,48,65.3,69.6,65.5,1,1.3,2,1.2,0.8,1.4,70.59%,25.00%,50.00%,63.64%,83.33%,69.57%,1.2,2.3,4,1.3,1.1,1.6,3.8,4,7,3.8,3.9,4.9,37.1,20.7,32,38.4,35.5,41.5,18.4,18.3,21,22.5,13.2,23.4,2.7,3,3,3.2,2.1,3.5,51.02%,66.67%,66.67%,50.00%,52.94%,66.07%,0.1,0,0,0,0.1,0.2,0,0,0,0,0,0.1,314.5,305.3,356,334.6,289.4,338.5,62.5,58.7,63,64.3,60.2,64.6,0.7,0,0,0.5,1,0.8,46.15%,0,0,40.00%,50.00%,46.15%,2.1,1.3,2,1.7,2.5,1.8,6,7.7,9,6.6,5.2,6.2,51.6,68.7,89,60,41,52.2,2
2011,1,Carolina,Arizona,0,retractable roof (closed),0,0,0,1,grass,1,70,0,7,37.5,15.25,12.2,10.7,10,11,13.5,19.7,2.1,2.3,2,2.2,1.9,2.5,30.30%,28.57%,50.00%,22.22%,40.00%,50.00%,0,0,0,0,0,0.2,0,0,0,0,0,0.1,258.4,237.7,291,265.9,251,331.1,60.1,57,56,62.9,57.4,63.9,1.4,1.7,1,1.9,1,1.2,43.48%,40.00%,0.00%,53.33%,25.00%,45.00%,2.3,1.7,2,2.5,2.1,1.9,6.6,7.3,10,6.2,7,5.5,57.4,72.3,97,51,63.8,43.6,27.1,27.7,38,25.2,29,23.1,4.3,2.7,3,3.9,4.8,3.1,39.13%,50.00%,66.67%,32.26%,44.74%,53.57%,0,0,0,0,0,0,0,0,0,0,0,0,373.6,349,362,370.4,376.8,358.6,68.2,66,56,68.6,67.9,65.1,1.1,1.3,0,0.6,1.5,1.5,52.94%,75.00%,0,60.00%,50.00%,51.85%,1.9,1.3,0,2.4,1.4,1.8,6.8,6,8,6,7.5,6.7,54.4,41.7,43,50.8,58,53.6,0
