,Team,Predicted FGA,Actual FGA
1,Tampa Bay,7.012207031,0
2,Cleveland,6.866699219,4
3,Chicago,4.942382813,1
4,Minnesota,3.8359375,3
5,Philadelphia,3.729492188,1
6,Detroit,3.459472656,2
7,Washington,3.309570313,4
8,Tennessee,3.237792969,2
9,San Francisco,3.137207031,3
10,Pittsburgh,3.063476563,1
11,Buffalo,3.061035156,2
12,LA Rams,2.813964844,1
13,Indianapolis,2.745117188,0
14,Seattle,2.676757813,1
15,Miami,2.664550781,0
16,Oakland,2.389160156,2
17,Green Bay,2.344726563,6
18,Dallas,2.250976563,2
19,Arizona,2.001464844,0
20,NY Giants,1.977050781,2
21,Baltimore,1.973632813,1
22,New Orleans,1.8125,3
23,Carolina,1.789550781,1
24,Atlanta,1.76953125,1
25,Cincinnati,1.629394531,0
26,NY Jets,1.622558594,2
27,Jacksonville,1.426757813,1
28,Houston,1.078125,2
29,Kansas City,0.009765625,0
30,New England,-0.073730469,3
31,Denver,-1.690429688,2
32,LA Chargers,-2.443359375,1
