|team|fga
0|New Orleans|2
1|Philadelphia|1
2|Pittsburgh|0
3|Indianapolis|1
4|Tennessee|1
5|Cincinnati|2
6|Buffalo|2
7|Detroit|2
8|Atlanta|2
9|Carolina|0
10|Minnesota|1
11|Seattle|1
12|NY Giants|1
13|Dallas|1
14|New England|2
15|Oakland|3
16|Jacksonville|1
17|Kansas City|2
18|Chicago|2
19|Seattle|0
20|Green Bay|3
21|Cleveland|2
22|Baltimore|2
23|Oakland|0
24|Arizona|0
25|Tampa Bay|1
26|Dallas|3
27|LA Chargers|0
28|Cincinnati|3
29|Houston|3
30|Philadelphia|2
31|LA Rams|3
32|San Francisco|2
33|Jacksonville|1
34|Denver|0
35|Miami|4
36|Houston|4
37|New England|1
38|NY Giants|0
39|Detroit|4
40|NY Jets|1
41|Baltimore|5
42|Kansas City|2
43|Arizona|3
44|Green Bay|2
45|Atlanta|2
46|Pittsburgh|4
47|Washington|4
48|Washington|1
49|Minnesota|1
50|Detroit|2
51|San Francisco|3
52|Tennessee|1
53|Pittsburgh|2
54|New Orleans|5
55|Buffalo|2
56|Carolina|5
57|NY Giants|1
58|Atlanta|3
59|Denver|1
60|New England|1
61|Miami|3
62|NY Jets|1
63|Indianapolis|2
64|Tennessee|1
65|Kansas City|0
66|Oakland|4
67|Cincinnati|1
68|New Orleans|3
69|Seattle|2
70|Philadelphia|1
71|Arizona|1
72|Tampa Bay|1
73|NY Jets|0
74|LA Chargers|5
75|Green Bay|4
76|Chicago|2
77|LA Rams|2
78|Buffalo|1
79|Indianapolis|2
80|Carolina|1
81|Jacksonville|2
82|San Francisco|3
83|Philadelphia|2
84|Cleveland|1
85|Houston|0
86|Dallas|3
87|New Orleans|2
88|Minnesota|2
89|Miami|2
90|Denver|3
91|Houston|2
92|LA Chargers|0
93|Seattle|1
94|Chicago|2
95|Washington|2
96|Atlanta|3
97|Pittsburgh|3
98|LA Rams|0
99|Green Bay|4
100|Kansas City|0
101|Indianapolis|0
102|Baltimore|1
103|New Orleans|1
104|Arizona|2
105|Miami|1
106|Jacksonville|0
107|Indianapolis|1
108|Minnesota|2
109|Washington|1
110|Detroit|1
111|Cleveland|1
112|New England|2
113|Cincinnati|2
114|Dallas|0
115|LA Chargers|5
116|Seattle|3
117|Atlanta|1
118|Miami|1
119|Cleveland|2
120|NY Jets|3
121|San Francisco|4
122|Tampa Bay|3
123|Denver|2
124|Cincinnati|1
125|NY Giants|1
126|LA Rams|4
127|Green Bay|1
128|Baltimore|4
129|Chicago|3
130|Oakland|1
131|Pittsburgh|1
132|Arizona|2
133|Buffalo|1
134|Jacksonville|2
135|Houston|2
136|New Orleans|5
137|Denver|2
138|LA Rams|2
139|Washington|5
140|Tennessee|3
141|Baltimore|3
142|NY Giants|2
143|Detroit|2
144|New England|3
145|Minnesota|1
146|NY Jets|4
147|Tampa Bay|2
148|Buffalo|2
149|Cincinnati|1
150|Carolina|2
151|Jacksonville|1
152|Dallas|2
153|Oakland|3
154|Arizona|0
155|Seattle|1
156|Tennessee|1
157|LA Chargers|3
158|Philadelphia|1
159|Kansas City|1
160|Green Bay|2
161|Miami|5
162|San Francisco|2
163|Arizona|3
164|Tampa Bay|1
165|Buffalo|1
166|Cleveland|3
167|Minnesota|0
168|Carolina|3
169|Houston|2
170|Chicago|2
171|Washington|2
172|Denver|3
173|New England|2
174|Pittsburgh|2
175|NY Giants|2
176|Philadelphia|0
177|Carolina|1
178|Indianapolis|1
179|Tennessee|3
180|Cincinnati|1
181|Atlanta|1
182|NY Jets|3
183|Kansas City|1
184|Oakland|0
185|Denver|2
186|Baltimore|3
187|Green Bay|2
188|Dallas|4
189|LA Rams|0
190|Detroit|3
191|LA Chargers|1
192|Cleveland|1
193|Houston|3
194|Indianapolis|1
195|Kansas City|1
196|New England|2
197|Philadelphia|1
198|Tampa Bay|0
199|Minnesota|0
200|New Orleans|3
201|Atlanta|2
202|San Francisco|5
203|Chicago|1
204|Buffalo|2
205|Oakland|0
206|NY Giants|2
207|LA Rams|2
208|Jacksonville|0
209|Dallas|1
210|Cincinnati|2
211|Miami|3
212|Washington|3
213|Tennessee|2
214|Green Bay|1
215|Seattle|1
216|Carolina|0
217|New Orleans|1
218|Detroit|0
219|Cleveland|1
220|New England|2
221|NY Jets|2
222|Baltimore|1
223|Pittsburgh|2
224|Houston|3
225|LA Rams|2
226|Miami|1
227|Denver|0
228|Jacksonville|1
229|Arizona|1
230|Oakland|4
231|NY Giants|2
232|Cleveland|0
233|Tampa Bay|1
234|Minnesota|3
235|LA Chargers|1
236|Philadelphia|2
237|San Francisco|5
238|Chicago|3
239|Atlanta|3
240|San Francisco|3
241|Tennessee|3
242|Detroit|2
243|NY Jets|1
244|Washington|2
245|Buffalo|1
246|Indianapolis|2
247|Carolina|1
248|Chicago|1
249|Seattle|3
250|LA Chargers|2
251|Baltimore|1
252|Pittsburgh|3
253|Kansas City|1
254|Tampa Bay|1
255|Dallas|1
256|Green Bay|0
257|LA Rams|3
258|Baltimore|2
259|Houston|2
260|Jacksonville|3
261|Cleveland|1
262|Kansas City|1
263|Tampa Bay|2
264|Chicago|3
265|Arizona|1
266|LA Chargers|1
267|San Francisco|4
268|Washington|1
269|NY Jets|2
270|Miami|1
271|Denver|3
272|NY Jets|3
273|Detroit|2
274|New Orleans|3
275|Pittsburgh|2
276|Carolina|3
277|Indianapolis|4
278|Tennessee|5
279|Buffalo|2
280|Washington|4
281|Minnesota|2
282|San Francisco|1
283|New England|2
284|Denver|1
285|Miami|4
286|Atlanta|0
287|NY Giants|0
288|Cincinnati|2
289|Carolina|2
290|Tennessee|1
291|Cleveland|1
292|New Orleans|1
293|Buffalo|2
294|Philadelphia|3
295|Minnesota|3
296|Oakland|3
297|LA Rams|0
298|LA Chargers|2
299|Seattle|2
300|Chicago|1
301|Tampa Bay|3
302|Indianapolis|2
303|Dallas|6
304|LA Rams|1
305|Kansas City|5
306|Dallas|3
307|Philadelphia|5
308|Cleveland|2
309|Houston|1
310|Jacksonville|1
311|Cincinnati|3
312|Chicago|2
313|Arizona|2
314|Seattle|1
315|Green Bay|0
316|Oakland|2
317|LA Chargers|4
318|Baltimore|2
319|Tampa Bay|2
320|Pittsburgh|1
321|Indianapolis|1
322|Houston|3
323|Jacksonville|2
324|Carolina|0
325|NY Giants|1
326|Buffalo|1
327|Minnesota|3
328|San Francisco|2
329|New England|3
330|Denver|1
331|Atlanta|0
332|Detroit|1
333|Green Bay|1
334|NY Giants|3
335|Cincinnati|3
336|Atlanta|1
337|Pittsburgh|2
338|Detroit|3
339|Washington|2
340|Oakland|1
341|Baltimore|5
342|New England|2
343|Tampa Bay|5
344|Chicago|3
345|NY Jets|1
346|Miami|3
347|Tennessee|0
348|NY Jets|2
349|Cleveland|4
350|Tampa Bay|1
351|Carolina|4
352|Detroit|3
353|Arizona|0
354|Dallas|2
355|Minnesota|2
356|Oakland|0
357|New Orleans|2
358|Jacksonville|4
359|LA Rams|1
360|Baltimore|3
361|NY Giants|2
362|Houston|2
363|Tennessee|2
364|Carolina|1
365|Buffalo|4
366|Denver|1
367|San Francisco|2
368|Pittsburgh|4
369|Seattle|2
370|Philadelphia|2
371|Kansas City|3
372|Dallas|3
373|Indianapolis|0
374|Kansas City|1
375|Houston|3
376|Buffalo|1
377|Washington|1
378|New Orleans|3
379|Oakland|1
380|Tennessee|1
381|New England|3
382|Arizona|2
383|LA Chargers|1
384|Pittsburgh|2
385|Philadelphia|1
386|LA Chargers|2
387|Cincinnati|1
388|Philadelphia|1
389|Dallas|3
390|Indianapolis|1
391|Tampa Bay|1
392|Atlanta|4
393|Kansas City|1
394|Cleveland|5
395|Miami|3
396|Carolina|2
397|Seattle|5
398|San Francisco|4
399|Chicago|4
400|NY Jets|1
401|Green Bay|1
402|Denver|1
403|Green Bay|1
404|Miami|0
405|Baltimore|1
406|Detroit|0
407|Cleveland|1
408|Washington|3
409|Minnesota|0
410|San Francisco|6
411|LA Rams|0
412|Atlanta|3
413|Chicago|1
414|NY Giants|1
415|New England|2
416|Detroit|1
417|Dallas|2
418|Baltimore|3
419|LA Rams|3
420|Tennessee|4
421|NY Jets|0
422|Cincinnati|3
423|Atlanta|1
424|Indianapolis|2
425|Jacksonville|3
426|Oakland|6
427|Seattle|2
428|LA Chargers|4
429|Philadelphia|2
430|Kansas City|3
431|New Orleans|0
432|Seattle|1
433|Tampa Bay|4
434|New England|1
435|Buffalo|1
436|Pittsburgh|1
437|Houston|2
438|Washington|4
439|Chicago|2
440|Miami|2
441|Minnesota|3
442|Cleveland|1
443|NY Giants|2
444|Arizona|2
445|San Francisco|4
446|New Orleans|1
447|Jacksonville|0
448|Pittsburgh|0
449|Cincinnati|4
450|Baltimore|1
451|NY Jets|0
452|Washington|2
453|Miami|2
454|Jacksonville|0
455|Detroit|2
456|Tennessee|1
457|Carolina|1
458|Arizona|0
459|Denver|3
